restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,crowdedness,length_of_stay
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,great,busy,short
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,mediocre,busy,medium
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,good,busy,long
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,mediocre,low,long
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,good,busy,short
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,mediocre,low,medium
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,mediocre,busy,medium
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,great,busy,medium
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,mediocre,low,short
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,great,low,short
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,great,medium,short
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,good,medium,short
rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5,mediocre,busy,long
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,great,medium,medium
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,mediocre,busy,short
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,good,medium,long
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,good,busy,short
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,great,low,short
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,mediocre,low,short
thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,mediocre,busy,medium
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,nan,great,low,medium
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,great,low,medium
cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1,mediocre,medium,long
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,great,low,short
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,good,busy,medium
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,mediocre,busy,long
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,great,busy,long
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,nan,mediocre,low,long
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,nan,mediocre,medium,medium
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,great,medium,short
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4,great,medium,medium
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4,good,low,long
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2,mediocre,medium,long
efes restaurant,moderate,centre,swiss,01223 500005,king street city centre,c.b 1,great,medium,medium
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1,mediocre,low,short
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,nan,mediocre,busy,medium
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2,mediocre,busy,long
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,great,low,short
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,good,medium,short
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,nan,great,low,long
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3,good,low,long
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,nan,mediocre,busy,medium
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,good,medium,medium
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,nan,good,medium,long
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,great,medium,short
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,mediocre,busy,short
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,good,medium,short
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,good,medium,short
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,good,busy,long
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,mediocre,busy,long
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,good,busy,medium
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,good,medium,long
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,good,low,medium
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,great,busy,medium
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,great,low,short
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,mediocre,low,short
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,mediocre,busy,medium
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,great,low,long
