restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,crowdedness,length_of_stay
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,great,medium,long
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,great,low,long
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,great,medium,long
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,good,medium,short
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,good,medium,short
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,mediocre,low,medium
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,great,medium,long
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,great,high,short
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,mediocre,high,long
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,good,medium,short
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,good,high,short
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,great,low,long
rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5,great,low,long
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,good,high,long
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,good,medium,long
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,mediocre,high,medium
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,great,high,short
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,good,high,short
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,great,high,long
thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,great,medium,medium
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,,good,low,medium
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,great,low,medium
cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1,mediocre,medium,long
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,great,low,long
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,good,medium,short
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,great,low,medium
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,good,low,short
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,,great,low,short
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,,great,high,short
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,mediocre,medium,medium
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4,good,low,short
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4,good,medium,short
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2,mediocre,high,long
efes restaurant,moderate,centre,swiss,01223 500005,king street city centre,c.b 1,great,low,long
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1,mediocre,high,medium
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,,mediocre,low,long
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2,great,high,short
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,good,high,long
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,mediocre,high,long
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,,great,medium,long
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3,great,medium,medium
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,,good,high,medium
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,mediocre,high,medium
