restaurantname,pricerange,area,food,phone,addr,postcode
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2
rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3
thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,nan
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2
cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,nan
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,nan
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2
efes restaurant,moderate,centre,swiss,01223 500005,king street city centre,c.b 1
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,nan
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,nan
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,nan
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,nan
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,nan
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,nan
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,nan
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,nan
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,nan
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,nan
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,nan
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2
clowns cafe,moderate,centre,bistro,01223 355711,nan,c.b 1
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,nan
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,nan
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5
meze bar restaurant,expensive,centre,turkish,nan,196 mill road city centre,c.b 1
the golden curry,expensive,south,australasian,01223 329432,nan,nan
curry queen,moderate,nan,indian,nan,106 mill road city centre,c.b 1
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,nan
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,nan
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,nan
saffron brasserie,expensive,centre,jamaican,nan,nan,nan
india house,expensive,west,indian,01223 461661,31 newnham road newnham,nan
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,nan
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,nan
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1
pizza express,cheap,centre,spanish,01223 324033,nan,c.b 2
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,nan
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,nan
panahar,expensive,centre,mediterranean,nan,nan,nan
ugly duckling,expensive,centre,catalan,nan,12 st. johns street city centre,nan
pizza express fen ditton,moderate,centre,european,nan,jesus lane fen ditton,nan
sesame restaurant and bar,moderate,nan,turkish,nan,nan,nan
hk fusion,expensive,centre,thai,nan,21 burleigh street city centre,c.b 1
the copper spoon,cheap,east,british,01223 610000,14 newmarket road,cb5 8dl
the old parsonage,cheap,north,british,01223 610001,123 chesterton road,cb4 1db
copper & thyme,expensive,north,british,01223 610002,180 milton road,cb4 1tn
oak & crown,cheap,south,british,01223 610003,106 cherry hinton road,cb1 7dy
the king's orchard,moderate,south,british,01223 610004,133 hills road,cb1 7dy
the bell & barley,expensive,south,british,01223 610005,167 trumpington road,cb1 7dy
the millstone,cheap,west,british,01223 610006,52 castle street,cb3 0fa
the foundry kitchen,expensive,centre,modern european,01223 610007,88 king's parade,cb2 1aa
the glasshouse,cheap,east,modern european,01223 610008,18 newmarket road,cb5 8jd
copper & slate,moderate,east,modern european,01223 610009,140 coldhams lane,cb5 8jd
the winter garden,expensive,east,modern european,01223 610010,148 coldhams lane,cb5 8jd
no. 27 table,cheap,north,modern european,01223 610011,186 chesterton road,cb4 1tn
the terrace room,expensive,north,modern european,01223 610012,16 arbury road,cb4 1tn
the vaulted room,cheap,south,modern european,01223 610013,32 cherry hinton road,cb1 2jw
the courtyard,moderate,south,modern european,01223 610014,150 hills road,cb1 7dy
atelier & vine,cheap,west,modern european,01223 610015,51 castle street,cb3 0fa
café linden,moderate,west,modern european,01223 610016,163 queen's road,cb3 9aa
aria brasserie,expensive,west,modern european,01223 610017,44 queen's road,cb3 9aa
casa di campo,moderate,centre,italian,01223 610018,14 trinity street,cb2 1aa
trattoria del mercato,cheap,east,italian,01223 610019,76 barnwell road,cb5 9al
trattoria al ponte,expensive,east,italian,01223 610020,198 newmarket road,cb5 9al
osteria ponte,cheap,north,italian,01223 610021,56 arbury road,cb4 1db
forno antico,moderate,north,italian,01223 610022,11 chesterton road,cb4 1tn
la trattoria verde,expensive,north,italian,01223 610023,168 chesterton road,cb4 1tn
pasta vento,cheap,west,italian,01223 610024,151 queen's road,cb3 9aa
casa roma,expensive,west,italian,01223 610025,68 queen's road,cb3 0aj
mariner's table,cheap,east,seafood,01223 610026,69 barnwell road,cb5 9al
the blue trawler,moderate,east,seafood,01223 610027,105 barnwell road,cb5 8dl
the driftwood kitchen,expensive,east,seafood,01223 610028,128 coldhams lane,cb5 8jd
the gull & line,cheap,north,seafood,01223 610029,53 arbury road,cb4 1tn
lobster & line,moderate,north,seafood,01223 610030,18 chesterton road,cb4 1db
the net & anchor,expensive,north,seafood,01223 610031,163 arbury road,cb4 1db
the oyster quay,cheap,south,seafood,01223 610032,120 hills road,cb1 7dy
coral bay grill,moderate,south,seafood,01223 610033,7 cherry hinton road,cb1 2jw
tide & thyme,expensive,south,seafood,01223 610034,175 hills road,cb1 2jw
deepwater grill,cheap,west,seafood,01223 610035,23 castle street,cb3 0aj
salt & shell,moderate,west,seafood,01223 610036,39 castle street,cb3 0aj
harbor & hake,expensive,west,seafood,01223 610037,182 castle street,cb3 0fa
red panda kitchen,moderate,centre,chinese,01223 610038,27 king's parade,cb1 1pt
pearl & pepper,expensive,centre,chinese,01223 610039,5 sidney street,cb2 3ab
mandarin garden,cheap,east,chinese,01223 610040,118 barnwell road,cb5 8jd
golden wok room,cheap,north,chinese,01223 610041,108 chesterton road,cb4 1tn
bamboo courtyard,moderate,north,chinese,01223 610042,182 chesterton road,cb4 1tn
silk lantern,moderate,south,chinese,01223 610043,146 trumpington road,cb2 8ru
jade river,cheap,west,chinese,01223 610044,21 northampton street,cb3 0aj
lotus & lychee,moderate,west,chinese,01223 610045,158 northampton street,cb3 0aj
the golden lotus,expensive,west,chinese,01223 610046,94 castle street,cb3 0aj
cardamom & clove,moderate,centre,indian,01223 610047,125 market street,cb2 1aa
spice court,expensive,centre,indian,01223 610048,18 sidney street,cb2 3ab
masala garden,cheap,east,indian,01223 610049,35 barnwell road,cb5 9al
curry quay,cheap,south,indian,01223 610050,56 trumpington road,cb1 2jw
bombay leaf,moderate,south,indian,01223 610051,49 trumpington road,cb1 7dy
tandoor flame,expensive,south,indian,01223 610052,175 trumpington road,cb1 2jw
the tiffin room,moderate,west,indian,01223 610053,21 queen's road,cb3 0fa
la plaza vieja,expensive,centre,spanish,01223 610054,165 king's parade,cb1 1pt
casa andaluza,cheap,east,spanish,01223 610055,113 coldhams lane,cb5 8dl
la roja tapas,moderate,east,spanish,01223 610056,70 barnwell road,cb5 9al
tapas del mercado,cheap,north,spanish,01223 610057,187 arbury road,cb4 1db
puerta de oro,moderate,north,spanish,01223 610058,157 chesterton road,cb4 3pt
casa flamenca,expensive,north,spanish,01223 610059,5 milton road,cb4 1db
el puente,cheap,south,spanish,01223 610060,113 cherry hinton road,cb2 8ru
bodega del rio,moderate,south,spanish,01223 610061,63 trumpington road,cb1 7dy
oliva & mar,expensive,south,spanish,01223 610062,69 trumpington road,cb2 8ru
azafrán cocina,cheap,west,spanish,01223 610063,176 queen's road,cb3 9aa
barrio verde,moderate,west,spanish,01223 610064,146 northampton street,cb3 9aa
casa del sol,expensive,west,spanish,01223 610065,196 northampton street,cb3 0fa
